id,region,zone,woreda,area_km2,lat,lon,list_region,list_zone,list_woreda,match_method
LW001,Amhara,North Gojam,Mecha,546.6,11.4953,37.1226,Amhara,North Gojam,Mecha,exact
LW002,Amhara,North Shewa (AM),Ensaro,451.3,9.8385,38.9166,Amhara,North Shewa (AM),Ensaro,exact
LW003,Amhara,North Shewa (AM),Mojan Wedera,618.2,9.9237,39.5082,Amhara,North Shewa (AM),Mojan Wedera,exact
LW004,Amhara,North Shewa (AM),Moretna Jiru,660.4,9.9548,39.1538,Amhara,North Shewa (OR),Moratina Jiru,"spelling match, zone corrected"
LW005,Amhara,South Gondar,Fogera,1335.0,11.8843,37.7526,Amhara,South Gondar,Fogera,exact
LW006,Central Ethiopia,East Guraghe,Meskan,330.8,8.1581,38.3679,Central Ethiopia,East Guraghe,Meskan,exact
LW007,Central Ethiopia,East Guraghe,Sodo,553.1,8.2737,38.5865,Central Ethiopia,East Guraghe,Sodo,exact
LW008,Central Ethiopia,Guraghe,Abeshege,522.1,8.3243,37.6132,Central Ethiopia,Guraghe,Abeshege,exact
LW009,Central Ethiopia,Guraghe,Endiguagn,151.2,7.8184,37.8751,Central Ethiopia,Guraghe,Endiguagn,exact
LW010,Central Ethiopia,Guraghe,Enor Ener,334.2,7.9293,37.7275,Central Ethiopia,Guraghe,Enor Ener,exact
LW011,Central Ethiopia,Guraghe,Geta,200.1,7.9273,37.9696,Central Ethiopia,Guraghe,Geta,exact
LW012,Central Ethiopia,Guraghe,Gumer,233.0,7.9899,38.054,Central Ethiopia,Guraghe,Gumer,exact
LW013,Central Ethiopia,Hadiya,Gibe,447.8,7.7358,37.6681,Central Ethiopia,Hadiya,Gibe,exact
LW014,Central Ethiopia,Hadiya,Mirab Badowach,150.5,7.1514,37.8348,Central Ethiopia,Hadiya,Mirab Badowach,exact
LW015,Central Ethiopia,Hadiya,Misha,175.0,7.6737,37.8123,Central Ethiopia,Hadiya,Misha,exact
LW016,Central Ethiopia,Hadiya,Soro,499.2,7.463,37.5409,Central Ethiopia,Hadiya,Soro,exact
LW017,Central Ethiopia,Kembata,Angacha,153.1,7.3561,37.855,Central Ethiopia,Kembata,Angacha,exact
LW018,Central Ethiopia,Kembata,Doyogena,130.6,7.3931,37.8004,Central Ethiopia,Hadiya,Doyo gena,"spelling match, zone corrected"
LW019,Oromia,Arsi,Degeluna Tijo,925.0,7.7545,39.2064,Oromia,Arsi,Degeluna Tijo,exact
LW020,Oromia,Arsi,Hitosa,690.3,8.0671,39.214,Oromia,Arsi,Hitosa,exact
LW021,Oromia,Arsi,Inkolo Wabe,317.8,7.4212,39.4344,Oromia,Arsi,Inkolo Wabe,exact
LW022,Oromia,Arsi,Limu Bilbilo,1149.6,7.4148,39.2091,Oromia,Arsi,Limu Bilbilo,exact
LW023,Oromia,Arsi,Lude Hitosa,541.3,8.0854,39.4153,Oromia,Arsi,Lude Hitosa,exact
LW024,Oromia,Arsi,Munessa,1082.5,7.5626,38.9875,Oromia,Arsi,Munessa,exact
LW025,Oromia,Arsi,Tiyo,604.5,7.8986,39.1479,Oromia,Arsi,Tiyo,exact
LW026,Oromia,Bale,Agarfa,1221.7,7.3114,39.846,Oromia,Bale,Agarfa,exact
